host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples,cpu_energy_j,cpu_energy_j_total
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-cpu,49.764000,4.656414,19.822373,1.878056,70.176271,6.971330,294.054,295,14633.303,14718.439
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,37.626758,4.030394,16.705936,1.880011,64.401826,6.557313,218.041,219,8204.176,8261.470
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-cpu,41.148682,4.522973,16.556364,1.922571,66.586364,6.407864,219.038,220,9013.125,9074.975
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-cpu,43.318904,5.399970,17.632877,2.270722,64.109589,5.535840,72.012,73,3119.481,3165.098
edge-asus,swin_s,vaccel-remote-sol,edge-asus-cpu,43.139437,5.529990,18.054930,2.279597,64.098592,5.955598,70.012,71,3020.278,3078.039
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-cpu,23.595833,2.985887,11.087500,1.625401,54.930556,3.779794,71.013,72,1675.611,1714.688
edge-asus,swin_t,vaccel-remote-sol,edge-asus-cpu,25.945915,2.985616,11.773239,1.514248,57.169014,3.852879,70.012,71,1816.525,1850.180
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,54.093545,7.135287,21.989091,2.967072,70.600000,6.688117,109.019,110,5897.224,5960.036
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,60.212308,7.382814,24.007692,2.933970,73.593407,8.045172,90.015,91,5420.011,5515.897
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,2.546919,0.202879,29.896757,3.050032,67.048649,2.934015,184.066,185,468.801,473.150
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,3.073153,0.243310,52.330631,6.028069,69.603604,1.634533,110.040,111,338.170,343.233
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,2.543511,0.230565,29.214362,3.590154,67.393617,2.089579,187.055,188,475.776,478.635
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,2.988584,0.225129,51.992035,4.525545,68.761062,1.741093,112.058,113,334.895,339.375
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,2.739412,0.280735,34.479739,4.033169,67.640523,3.194387,152.059,153,416.552,421.461
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,3.102883,0.254000,52.909910,6.796010,70.036036,2.293461,110.042,111,341.447,345.561
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,2.755000,0.286990,33.544872,4.055043,68.333333,3.080820,155.055,156,427.177,431.311
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,2.993611,0.222038,52.183333,4.596929,70.018519,1.533463,107.041,108,320.439,325.878
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,2.500412,0.224644,28.377320,3.099867,66.721649,2.706397,193.045,194,482.692,485.456
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,3.121351,0.278553,52.606306,6.289764,69.729730,2.017696,110.046,111,343.492,349.485
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,2.462449,0.200945,28.106633,2.877394,67.642857,2.341942,195.054,196,480.311,484.511
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,3.031140,0.226900,52.386842,4.621318,69.070175,1.755789,113.037,114,342.631,347.178
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,2.702593,0.268366,33.075926,3.376367,67.462963,2.878483,161.057,162,435.271,440.106
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,3.147850,0.252716,53.714019,4.726688,69.280374,1.951728,106.044,107,333.811,337.256
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,2.666000,0.218845,32.272121,3.071641,67.981818,1.970918,164.064,165,437.395,441.623
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,3.039722,0.217781,52.661111,4.561774,69.009259,1.734697,107.034,108,325.354,331.000
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,4.924474,0.408270,40.552632,3.757559,72.921053,6.343452,227.099,228,1118.343,1123.629
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,6.371233,0.506449,70.660274,6.765510,79.404110,5.507876,145.084,146,924.364,933.141
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,6.379028,0.514401,70.662500,6.585937,79.430556,5.831729,143.074,144,912.673,923.904
robot,r3d_18,vaccel-remote-ptc,edge-asus-cpu,5.197163,0.376375,44.519712,3.451274,74.932692,6.564421,207.056,208,1076.104,1084.180
robot,r3d_18,vaccel-remote-ptc,edge-asus-gpu,6.533566,0.485460,72.335664,5.609400,81.482517,5.600766,142.092,143,928.368,935.238
robot,r3d_18,vaccel-remote-sol,edge-asus-cpu,5.176524,0.413852,43.575238,3.713855,76.347619,7.112572,209.071,210,1082.261,1089.196
robot,r3d_18,vaccel-remote-sol,edge-asus-gpu,6.402847,0.537610,71.397222,6.896053,80.201389,5.909714,143.055,144,915.959,923.734
robot,resnet50,vaccel-remote-ptc,edge-asus-cpu,2.342500,0.183778,37.497222,4.953982,62.777778,1.749780,35.014,36,82.020,85.479
robot,resnet50,vaccel-remote-ptc,edge-asus-gpu,2.596479,0.185936,36.928169,3.663416,68.014085,1.872657,70.017,71,181.798,185.754
robot,resnet50,vaccel-remote-sol,edge-asus-cpu,2.398732,0.142314,35.781690,3.802161,66.154930,2.133884,70.016,71,167.950,183.594
robot,resnet50,vaccel-remote-sol,edge-asus-gpu,2.573521,0.152796,37.069014,3.457492,68.619718,1.856592,70.024,71,180.208,184.477
robot,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,4.234291,0.363806,34.696099,3.453781,70.950355,6.043960,281.115,282,1190.323,1195.719
robot,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,6.270340,0.483797,69.792517,5.343406,79.707483,5.375949,146.074,147,915.934,927.134
robot,swin3d_b,vaccel-remote-sol,edge-asus-cpu,4.137938,0.347042,33.258763,3.303411,71.621993,6.099524,293.884,291,1216.074,1223.157
robot,swin3d_b,vaccel-remote-sol,edge-asus-gpu,6.264698,0.494540,69.478523,6.452486,78.805369,5.468246,148.065,149,927.583,937.216
robot,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,5.053014,0.412118,41.122831,3.719040,74.219178,7.290915,218.080,219,1101.961,1108.636
robot,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,6.358264,0.469771,70.231250,5.423399,79.958333,5.563865,143.087,144,909.785,920.612
robot,swin3d_s,vaccel-remote-sol,edge-asus-cpu,5.052591,0.417345,41.150000,3.851452,75.518182,7.214546,219.093,220,1106.987,1113.761
robot,swin3d_s,vaccel-remote-sol,edge-asus-gpu,6.390694,0.472180,70.972222,5.521265,80.243056,5.617738,143.060,144,914.253,924.793
robot,swin_s,vaccel-remote-ptc,edge-asus-cpu,2.346164,0.148699,41.257534,4.657647,65.479452,1.639492,72.034,73,169.004,171.653
robot,swin_s,vaccel-remote-ptc,edge-asus-gpu,2.571268,0.163724,37.200000,3.718890,67.746479,1.709281,70.021,71,180.043,183.747
robot,swin_s,vaccel-remote-sol,edge-asus-cpu,2.338451,0.136027,37.764789,3.660528,66.760563,1.755994,70.019,71,163.736,167.199
robot,swin_s,vaccel-remote-sol,edge-asus-gpu,2.572113,0.168606,37.543662,3.689602,67.704225,1.916528,70.022,71,180.104,184.389
robot,swin_t,vaccel-remote-ptc,edge-asus-cpu,2.341944,0.144074,38.004167,4.445017,64.902778,2.122366,71.020,72,166.325,170.281
robot,swin_t,vaccel-remote-ptc,edge-asus-gpu,2.579859,0.159987,35.832394,3.378714,67.718310,1.951403,70.018,71,180.637,184.332
robot,swin_t,vaccel-remote-sol,edge-asus-cpu,2.350282,0.131951,37.619718,3.602019,66.591549,1.975751,70.019,71,164.564,167.961
robot,swin_t,vaccel-remote-sol,edge-asus-gpu,2.625211,0.158246,36.888732,3.527859,68.380282,1.673036,70.021,71,183.820,188.267
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,2.230273,0.164844,32.705455,4.542283,65.190909,1.951668,109.042,110,243.193,245.972
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,2.501549,0.148634,36.667606,3.450486,67.591549,1.804357,70.019,71,175.156,178.734
robot,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,2.048571,0.090972,39.900000,3.689665,64.857143,1.738835,90.026,91,184.425,187.831
robot,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,2.519577,0.150271,36.169014,3.502136,67.478873,1.949064,70.020,71,176.421,180.173
