host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j,gpu_energy_j_total
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.950141,0.626467,4.380282,1.621738,0.464789,0.498759,974.120000,0.000000,47.816901,0.634897,70.014,71,1536.817,1571.234
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.938514,1.403418,6.040541,4.363358,1.290541,0.924541,1470.120000,0.000000,49.979730,1.495351,147.029,148,4401.830,4442.970
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.952550,1.536798,5.879195,4.082887,2.510067,1.778384,1388.120000,0.000000,49.684564,1.515412,148.027,149,4285.759,4349.067
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,26.592552,0.989774,5.475862,3.494000,0.779310,0.544172,1300.120000,0.000000,49.186207,1.419015,144.029,145,3830.099,3874.999
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,26.336944,0.918541,4.319444,3.351311,1.479167,1.201670,1274.120000,0.000000,49.291667,1.218349,143.025,144,3766.841,3816.106
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.128310,0.994616,5.760563,2.145843,0.985915,0.205074,1202.120000,0.000000,47.295775,0.862266,70.014,71,1759.333,1798.690
edge-asus,swin_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.823662,1.001980,5.985915,2.364604,0.971831,0.165455,1146.120000,0.000000,47.253521,0.899426,70.013,71,1737.979,1777.883
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.330845,0.559254,2.732394,1.047569,0.422535,0.493963,1122.120000,0.000000,47.154930,0.705070,70.014,71,1493.458,1519.859
edge-asus,swin_t,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.203239,0.604851,2.901408,1.063544,0.436620,0.495967,1018.120000,0.000000,47.394366,0.638636,70.015,71,1484.545,1515.923
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,30.376479,1.857590,8.042254,2.724105,1.690141,0.849052,1372.120000,0.000000,48.366197,1.436344,70.014,71,2126.779,2172.768
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.202676,1.492592,9.352113,3.484770,1.408451,0.545854,1244.120000,0.000000,48.704225,1.105611,70.014,71,2044.596,2089.855
