host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples,cpu_energy_j,cpu_energy_j_total
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,2.207344,0.264102,46.380083,8.723066,59.692946,2.604877,240.066,241,529.908,533.069
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,1.796846,0.213223,26.671784,5.158286,56.597510,2.649637,240.058,241,431.347,433.980
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,2.169253,0.273226,44.679668,8.833107,61.568465,2.269334,240.082,241,520.799,523.971
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,1.947220,0.235020,30.473859,5.932058,58.622407,2.360321,240.062,241,467.454,470.301
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,2.204979,0.266773,46.389627,9.067978,60.253112,2.641482,240.085,241,529.382,532.300
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,1.951577,0.243003,29.831535,5.945290,58.560166,2.316616,240.064,241,468.503,471.347
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,2.180622,0.263859,45.520332,8.359940,59.937759,2.437660,240.072,241,523.506,526.679
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,1.779710,0.209541,26.012033,5.150787,56.593361,2.883743,240.047,241,427.214,429.884
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,2.194689,0.269137,46.287967,8.687878,59.253112,2.808966,240.092,241,526.927,529.729
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,1.728133,0.170321,25.475934,4.357347,55.132780,2.334791,240.055,241,414.847,417.009
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,2.119876,0.256032,44.813693,8.485375,60.443983,2.217896,240.088,241,508.957,511.924
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,1.953029,0.234965,29.597510,5.853331,59.742739,2.696278,240.071,241,468.866,471.072
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,2.253485,0.280902,46.649378,9.222263,61.394191,2.322139,240.096,241,541.053,543.859
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,1.906639,0.231088,28.804149,5.635673,55.933610,3.123288,240.057,241,457.702,460.561
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,2.174896,0.273572,45.362656,8.842754,62.253112,1.961835,240.090,241,522.171,524.895
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,4.163610,0.693042,36.426971,7.168035,65.481328,5.748594,240.088,241,999.633,1004.554
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,5.340456,0.880545,65.225726,12.418304,71.460581,5.931796,240.108,241,1282.286,1288.943
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,3.864398,0.616965,34.683402,6.663648,66.377593,6.414661,240.092,241,927.811,932.805
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,5.271618,0.835600,65.190456,12.340526,72.439834,5.393779,240.109,241,1265.763,1272.094
robot,r3d_18,vaccel-remote-ptc,edge-asus-cpu,4.254730,0.697273,40.743983,7.937806,67.365145,6.078282,240.075,241,1021.454,1027.037
robot,r3d_18,vaccel-remote-ptc,edge-asus-gpu,5.377012,0.903798,66.254357,12.849224,70.091286,5.322773,240.122,241,1291.139,1297.973
robot,r3d_18,vaccel-remote-sol,edge-asus-cpu,4.269668,0.682113,40.152697,7.414095,66.825726,6.639090,240.057,241,1024.964,1030.652
robot,r3d_18,vaccel-remote-sol,edge-asus-gpu,5.432531,0.856725,66.403734,12.049546,72.145228,5.091657,240.092,241,1304.307,1311.510
robot,resnet50,vaccel-remote-ptc,edge-asus-cpu,1.664564,0.213316,39.443568,8.068527,56.120332,1.855250,240.079,241,399.627,401.756
robot,resnet50,vaccel-remote-ptc,edge-asus-gpu,1.810456,0.394315,39.342324,8.304842,59.290456,2.003801,240.071,241,434.638,436.944
robot,resnet50,vaccel-remote-sol,edge-asus-cpu,1.700913,0.197914,39.422822,7.695654,59.435685,1.515142,240.062,241,408.325,410.567
robot,resnet50,vaccel-remote-sol,edge-asus-gpu,1.827427,0.354027,39.857261,8.510601,59.547718,1.884311,240.072,241,438.714,441.018
robot,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,3.450705,0.541381,30.805809,6.139172,64.846473,5.371401,240.084,241,828.459,832.290
robot,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,5.109751,0.787393,64.319917,11.610152,69.506224,5.604622,240.123,241,1226.969,1233.193
robot,swin3d_b,vaccel-remote-sol,edge-asus-cpu,3.499793,0.557791,31.436100,6.352180,66.867220,5.827304,240.072,241,840.202,845.283
robot,swin3d_b,vaccel-remote-sol,edge-asus-gpu,5.121286,0.824682,64.346888,12.253759,69.941909,5.826391,240.099,241,1229.616,1236.514
robot,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,4.181203,0.708801,36.708714,7.365528,66.365145,6.616924,240.075,241,1003.802,1009.035
robot,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,5.151162,0.822806,64.645228,12.043799,70.759336,5.852985,240.116,241,1236.876,1243.833
robot,swin3d_s,vaccel-remote-sol,edge-asus-cpu,4.232697,0.692543,38.635685,7.567416,68.153527,6.192392,240.058,241,1016.093,1021.599
robot,swin3d_s,vaccel-remote-sol,edge-asus-gpu,5.179295,0.830763,64.805394,12.330622,70.257261,5.808868,240.116,241,1243.632,1249.877
robot,swin_s,vaccel-remote-ptc,edge-asus-cpu,1.632697,0.170862,39.184647,7.254758,55.124481,2.035235,240.077,241,391.973,394.076
robot,swin_s,vaccel-remote-ptc,edge-asus-gpu,1.760954,0.309640,39.556017,8.325059,56.182573,2.484781,240.078,241,422.766,425.075
robot,swin_s,vaccel-remote-sol,edge-asus-cpu,1.670124,0.182510,39.636929,7.923216,58.215768,1.726989,240.071,241,400.948,403.106
robot,swin_s,vaccel-remote-sol,edge-asus-gpu,1.790539,0.293430,40.141909,8.435709,57.950207,2.435391,240.081,241,429.874,432.160
robot,swin_t,vaccel-remote-ptc,edge-asus-cpu,1.798216,0.225566,43.450207,9.394609,57.605809,1.951222,240.084,241,431.723,434.051
robot,swin_t,vaccel-remote-ptc,edge-asus-gpu,1.816432,0.341028,40.300415,8.301560,56.726141,2.302736,240.076,241,436.082,438.526
robot,swin_t,vaccel-remote-sol,edge-asus-cpu,1.671618,0.198016,39.609544,7.922427,56.643154,2.102470,240.072,241,401.309,403.506
robot,swin_t,vaccel-remote-sol,edge-asus-gpu,1.793029,0.338350,39.708299,8.203785,56.813278,2.581933,240.070,241,430.452,432.900
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,1.594896,0.168787,31.650207,6.243211,54.053942,1.806281,240.092,241,382.922,384.940
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,1.762199,0.295172,40.684647,9.025136,55.078838,2.204769,240.078,241,423.065,425.413
robot,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,1.533693,0.149511,35.780498,6.666544,54.331950,2.137828,240.080,241,368.209,370.261
robot,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,1.801162,0.278136,40.856846,8.216366,59.182573,1.864682,240.073,241,432.410,434.792
