timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784823251091,2026-07-23T16:14:11.091207+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.29,80.0,7,1,1240.12,44,1751.918
1784823252091,2026-07-23T16:14:12.091441+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.05,80.0,7,1,1240.12,44,1780.748
1784823253091,2026-07-23T16:14:13.091610+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.43,80.0,9,1,1240.12,46,1810.898
1784823254091,2026-07-23T16:14:14.091820+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.82,80.0,14,2,1240.12,45,1840.286
1784823255092,2026-07-23T16:14:15.092044+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.04,80.0,7,1,1240.12,44,1869.039
1784823256092,2026-07-23T16:14:16.092266+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.92,80.0,7,1,1240.12,44,1898.12
1784823257092,2026-07-23T16:14:17.092428+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.25,80.0,14,2,1240.12,46,1927.724
1784823258092,2026-07-23T16:14:18.092627+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.85,80.0,14,2,1240.12,45,1956.543
1784823259092,2026-07-23T16:14:19.092777+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.19,80.0,7,1,1240.12,44,1986.272
1784823260092,2026-07-23T16:14:20.092850+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.42,80.0,7,1,1240.12,46,2015.066
1784823261092,2026-07-23T16:14:21.092912+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.04,80.0,13,2,1240.12,45,2044.261
1784823262093,2026-07-23T16:14:22.093112+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.48,80.0,7,1,1240.12,45,2072.62
1784823263093,2026-07-23T16:14:23.093302+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.67,80.0,7,1,1240.12,44,2100.803
1784823264093,2026-07-23T16:14:24.093434+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.04,80.0,13,2,1240.12,46,2130.066
1784823265093,2026-07-23T16:14:25.093604+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.07,80.0,13,2,1240.12,45,2158.32
1784823266093,2026-07-23T16:14:26.093800+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.43,80.0,7,1,1240.12,44,2186.728
1784823267093,2026-07-23T16:14:27.093952+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.41,80.0,7,1,1240.12,44,2216.078
1784823268094,2026-07-23T16:14:28.094137+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.68,80.0,14,2,1240.12,45,2245.086
1784823269094,2026-07-23T16:14:29.094347+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.22,80.0,13,2,1240.12,45,2273.623
1784823270094,2026-07-23T16:14:30.094554+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.34,80.0,7,1,1240.12,45,2301.615
1784823271094,2026-07-23T16:14:31.094772+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.88,80.0,7,1,1240.12,44,2329.651
1784823272094,2026-07-23T16:14:32.094846+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.32,80.0,14,2,1240.12,46,2358.466
1784823273095,2026-07-23T16:14:33.095047+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.32,80.0,13,2,1240.12,45,2387.48
1784823274095,2026-07-23T16:14:34.095232+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.93,80.0,7,1,1240.12,45,2416.057
1784823275095,2026-07-23T16:14:35.095426+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.98,80.0,7,1,1240.12,44,2445.617
1784823276095,2026-07-23T16:14:36.095564+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.61,80.0,13,2,1240.12,45,2475.706
1784823277095,2026-07-23T16:14:37.095802+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.17,80.0,14,2,1240.12,45,2504.78
1784823278096,2026-07-23T16:14:38.096027+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.13,80.0,7,1,1240.12,45,2533.494
1784823279096,2026-07-23T16:14:39.096175+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.91,80.0,7,1,1240.12,46,2563.003
1784823280096,2026-07-23T16:14:40.096376+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.62,80.0,13,2,1240.12,46,2592.651
1784823281096,2026-07-23T16:14:41.096575+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.09,80.0,7,1,1240.12,45,2620.435
1784823282096,2026-07-23T16:14:42.096771+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.38,80.0,7,1,1240.12,44,2649.066
1784823283096,2026-07-23T16:14:43.096916+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.74,80.0,7,1,1240.12,45,2678.407
1784823284097,2026-07-23T16:14:44.097148+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.71,80.0,14,2,1240.12,45,2705.903
